Question,PlainTextAnswer,MLAI's ChatGPT Responses
Why am I not eligible for your Credit Card ?,"As per the Bank's internal policy criteria, we are unable to process your Credit Card application. We request you to re-apply for Credit Card after 6 months.",
What is My PayLater VPA/UPI ID?,"{""title"":"""",""options"":[{""title"":""Know More"",""kind"":""url"",""type"":""quick"",""events"":[],""content"":""https://www.icicibank.com/Personal-Banking/paylater.page?ITM=ipal_Paylater""}],""content"":""Your PayLater Account is identified with a unique PayLater VPA (e.g. pl.XXXXXXX) which can be used to make various UPI payments such as online shopping, mobile recharge, flight/train/bus/taxi bookings etc. The VPA/UPI ID can be checked from PayLater tab inside Accounts and Deposits section of your iMobile app. "",""isCTA"":true}",
How to register payee for fund transfer?,"""If you are not receiving OTP for add payee please refer, 'OTP/ URN not coming' response.For any other issues you are facing while adding payee we request you to connect with our customer support executive by clicking on the link below:https://www.icicibank.com/nri-banking/RHStemp/contact-us.page?",
I'm getting an error while trying to place a FixedRupeeTransfer request. Can you check?,"The use of this channel is subject to overall daily limits on the value and volume of transactions permitted as per internal operational guidelines. ICICI Bank may change these limits at its own discretion. In the event that any of these operational limits are breached or held up, remittance through this channel will be temporarily unavailable till the permissible limits are cleared. XXXXIf you are getting this message when the India forex markets are open i.e. between 9:00 AM to 4:30 PM IST on a working day in India, then you are requested to try again in 2-3 hours. However if you are getting this message after the closing of the India forex markets, then you will be able to avail the Fixed Rupee transfer feature on the next working day. Kindly Note: ICICI Bank shall in no way be held responsible and/or liable for any rejections, queries or delays arising due to the temporary unavailability of this Facility",
What is the interest rate payable in Seafarers NRE Savings account?,"W.e.f. April 1, 2010, interest for all rupee savings accounts will be calculated on the daily closing balances maintained in the account. W.e.f. May 3, 2011, the interest will be calculated @ 4.0&percnt; per annum instead of 3.5&percnt; per annum. Interest so calculated is rounded off to the nearest rupee, ignoring fractions of a rupee. Interest is paid half-yearly in September and March.",
How to set UPI PIN ?,You need to create/set PIN during first time registration with this App.You have to enter this UPI PIN to authorise all bank transactions. If you have already set up a UPI PIN with other UPI Apps you can use the same on Bharat Interface for Money.,
What is the minimum deposit amount required for opening an FCNR Fixed Deposit (FD) account?,To know minimum amout required for opening FCNR FD account Please Click here https://www.icicibank.com/nri-banking/bankAccounts/fcnr-fixed-accounts.page,
"How to Open Account, Transfer to a new branch, Close Account?","{""title"":"""",""options"":[{""title"":""Open a new account"",""content"":""2133650893"",""type"":""persist"",""kind"":""articleTitle"",""options"":[]},{""title"":""Transfer account"",""content"":""2142395443"",""type"":""persist"",""kind"":""articleId"",""options"":[]},{""title"":""Close Account"",""content"":""2145987363"",""type"":""persist"",""kind"":""articleId"",""options"":[]}],""content"":""Select what would you like to do""}",
I am getting an error ‘Session expired’ after I log in to Online Assist? What do I do?,You would get this page if either the system was idle for more than 10 minutes or if you would have double clicked on any tab or clicked on the back button of the browser. You may re-login and proceed.,
How do I update my e-mail ID in my savings account?,"Let me help you with that. You can change you e-mail id through the ""Services"" icon available on homepage. Click here nanorep://#instaUpdateEmail to navigate. To learn more watchan iPlay video by clicking here https://www.youtube.com/embed/g_wbCbXZ-bg?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal .",
How can I foreclose or cancel the EMI on Credit Card ?,"Login to www.icicibank.com and Customer Service > Service Requests > Credit Card > Card related queries > Queries Related to EMI-on-Call Facility  > Select Type of Query as Foreclosure of EMI on Call facility > Enter the required details to submit your request.If the cancellation request within 17 days of booking, No chargers would be levied . If the request places post 17 days of booking EMI, a foreclose fee of 3% on remaining outstanding principal would be levied .Alternatively, You may call our Customer Care https://www.icicibank.com/customer-care.page from your registered mobile number.",
Will I get a FD receipt/Advice?,"The FD receipt will be sent to your registered e-mail ID and you can download it as well.Internet Banking:Please follow the below steps to get the FD receipt through Internet Banking.Login to your Internet Banking > Customer Service > Service Requests > Deposits > Generate FD Advice.ICICI Bank branch:You may get the FD receipt by visiting the nearest ICICI Bank branch with your ID proof. To locate the nearest ICICI Bank branch, please click here http://maps.icicibank.com/mobile/ .",
How to add a payee ?,"Sure. Let me help you with that. You can avail this service through the ""Fund transfer"" icon available on homepage. Click here nanorep://#newIcicAddPayee  to add payee To learn more watchan iPlay video by clicking here https://www.youtube.com/embed/czrnl0JmsI8?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal .",
How much amount can I deposit in my PPF account?,"Minimum amount to be deposited in PPF account in a financial year is ₹500.00 and the maximum amount that can be deposited is ₹1,50,000.00.",
"Money2Inida cannot see the beneficiary while initiating transactions, however the status is active",We wish to inform you that we were unable to successfully verify the beneficiary details.Kindly register a new beneficiary with correct details.,
How do I check the status of my Debit Card or Cheque book under Online Assist service??,"Once logged in by entering the OTP, on the next screen under the option ‘What is your query related to?’ select Savings Account, select the Account number, then under the option ‘Help us understand your query better’ select Cheque book or Debit Card status and then select the option ‘Track your Debit Card’ or ‘Track your cheque book’.",
What is the minimum and maximum amount that can be sent through Smart Money Order?,"In a single transaction, you can request a minimum of Rs. 100 and in multiples thereof to a maximum amount of Rs. 5,000.",
What type of documents can be stored in ICICI e-Locker ?,Documents in the formats of pdf and jpg can be stored in ICICI e-Locker.,
Why am I unable to start investing in Systematic Investment Plan in Mutual Funds?,Please contact your Relationship Manager or call our Customer Care to get your query resolved.,
How do I deposit money into my Sukanya Samriddhi account?,You may deposit cash/ cheque in Sukanya Samriddhi Yojana (SSY) account by visiting ICICI Bank branch or do fund transfer through the linked guardian’s account.Fund Transfer from linked guardian savings account :Fund Transfer – BankAccounts> SSY Accounts > Initiate Self Funds Transfer >Transfer Funds - Customers holding SSY account can transfer funds from linked savings account to SSY accounts instantly. Click here nanorep://#Fund-menu to navigate.You may add SSY account to your User ID by logging into your Internet Banking Account > Select Payments & Transfer > Funds Transfer > Click on Add Payee under Any other ICICI Bank account and do fund transfer to SSY account. Funds can also be transfered from other bank account through NEFT.,
How can I view my completed transactions?,Please log in to Internet Banking> Payments & Transfer > My Transactions > Completed Transactions > View.,
How can I apply for a Virtual Credit Card?,Currently virtual Credit Cards are not being sourced.,
What methods of payments are accepted for Concierge Travel / Medical / Emergency?,Here are the different modes through which you can make a payment towards you ICICI Bank Credit Card Account:Cheque or Draft payment Cash Payment (Charges applicable Rs. 100.00 + 18% Goods and Service Tax (GST)) Auto-Debit facility Internet Banking National Electronic Funds Transfer (NEFT) Click To Pay ATM Payment Visa Money Transfer IVR Payment.,
What is a type 9 return?,"A type ""9"" return means that your account details (account number, bank ID transit number, account type) do not match with your bank records and are incorrect. We will inform you about any such transaction return through an email.",
What are the documentation and service charges applicable for Home Loan?,"{""title"":"""",""options"":[{""title"":""Back to Menu"",""kind"":""back-to-menu"",""type"":""quick"",""events"":[],""content"":""1667452498|Menu""}],""content"":""<p>Planning to avail ICICI Bank Home Loan? You can check required documents, applicable fee and charges by <a href=\""https://www.icicibank.com/Personal-Banking/loans/home-loan/documents-required.page\"" target=\""_blank\"">clicking here</a>.</p>"",""isCTA"":true}",
What is the profit do I get if I refer a friend?,"Under the Refer a friend promo, both the referrer as well as the referee gets pref rate on first transaction subject to certain terms and conditions, specified on the website.",
How do I get refund of a failed Debit card transaction ?,"Debit card transaction online or POSIf the debit card transaction is failed at merchant, call our Customer Care from your registered mobile number.To know the local Customer Care numbers, pleaseclick here https://www.icicibank.com/customer-care.page .Or write to us at customer.care@icicibank.com mailto:customer.care@icicibank.com with your savings account number, date of transaction, amount of transaction and any other details regarding the transaction that you may have from your registered email id for further assistance.Merchant refund cases:If you have cancelled the transaction and waiting/ expecting for refund,we request you to wait for 7 working days from the date of cancellation of the transaction .If the amount is not reversed to your account within 7 working days, we request you to send us a confirmation mail tocustomer.care@icicibank.com mailto:customer.care@icicibank.com from the merchant to lodge the complaint with the below details.1. Type of Goods and services2. Expected date of delivery3. Refund amount",
Where can I check my hotel bookings?,You can check your bookings by visiting the 'My Bookings' section of the Hotels module.  Steps to check:Visit the Hotels section on the Home page. Click on the ellipsis (three dots) icon and select My Bookings (iMobile Pay app > Shop > Hotel).,
What are the charges applicable for premature closer of Fixed Deposit?,"In case of premature withdrawals:Before completion of 1 year: No interest will be payable.After completion of 1 year: On premature withdrawal of the deposit, interest will be calculated at the rate applicable for the period for which the deposit was held with the Bank or contracted rate of the deposit whichever is lower, plus applicable penalty as below:Please click here https://www.icicibank.com/nri-banking/RHStemp/rates.page?site=HP-menu-2nd-grid to know the premature closure charges. Check NRE FD/RD Rates and NRO FD/RD Rates for NRE and NRO FDs related charges.",
How can I check my account statement?,"To check account statement, go to Bank Accounts > E-Statements1. For monthly statement - Select month and click on PDF or excel icon to download in the desired format 2. For specific period (less than or equal to a year) or financial year, click on 'Detailed Statement'a. To Download in PDF/ Excel: select from and to date and click on 'Get Statement'. Scroll down, select the format from 'Download Details As' and click 'OK'b. To send over mail: Click on send over mail, select from and to date and click 'Submit' 3. For a period greater than a year, you can connect with our customer support executive by clicking on the link below:https://www.icicibank.com/nri-banking/RHStemp/contact-us.page?",
How to know about Coral Card ?,Please select the type of card for the information you would like to know.Debit Card:ICICI Bank Coral Paywave International Debit Card .https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Debit-Card/coral-paywave-debit-card/index.page?#toptitle .ICICI Bank Coral+ International Debit Card .https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Debit-Card/coral-plus-debit-card/index.page ICICI Bank Expressions Coral Debit Card https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Debit-Card/expressions-card/featuresCoral.html Credit Card:ICICI Bank Coral Credit Card https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Credit-Card/coral-card/key_privileges.page Jet Airways ICICI Bank Coral Credit Cards https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Credit-Card/jetairways_coral/index.page ICICI Bank HPCL Coral Visa Contactless Credit Card .https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Credit-Card/contactless-credit-card/hpcl-coral-visa/key-privileges.page ICICI Bank Coral Contactless Credit Card https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Credit-Card/coral-contactless-credit-card/key-privileges.page ICICI Bank HPCL Coral American Express Credit Card https://www.icicibank.com/Personal-Banking/cards/Consumer-Cards/Credit-Card/hpcl-coral-american-express/hpcl-coral-amex-key-privilages.page,
Can I redeem my tax saver FD before the original term?,"No. As per Government notification, no premature withdrawal is allowed for the Tax-Saver FD (u/s 80C FD)..",
How can I reactivate my inactive account ?,"The inactive account can be activated by initiating a Debit Card transaction at ATM or any credit to your account.You may also log in to www.icicibank.com and go to Customer Service > Service Requests > Bank Accounts > More > Account Details Modification Related > Activation of Inactive Account > Enter the details and submit the request.""",
What are the recommended products for me?,"Sure, let me help you with that.  You can check all your recommended products in  ""Recommedation"" option in Discover section of the app. Please Click here nanorep://#Recommendations to know products that suits you best.",
Are there any transactions restricted while using PayLater Account?,Restrictions on PayLater Account are mentioned below:Funds transfer from PayLater Account to linked Savings Account or any other registered payee account 'Add funds' to Pockets wallet from PayLater Account Cash withdrawal from PayLater Account,
Can I issue a cheque in SEK?,"ICICI Bank has nostro arrangement in the following currencies: USD, CAD, GBP, EUR, CHF, SGD, AUD, NZD, AED, HKD, JPY and ZAR",
FD Add-Ons,Currently FD Add-Ons is not available for NRI customers.,
Loan,"{""title"":"""",""options"":[{""title"":""Apply for Loan"",""content"":""nanorep://#applynow"",""type"":""quick"",""kind"":""url"",""options"":[]},{""title"":""Type of loans"",""content"":""2140126003"",""type"":""quick"",""kind"":""articleTitle"",""options"":[]},{""title"":""Track my Application"",""content"":""nanorep://#trackLoanDetail"",""type"":""quick"",""kind"":""url"",""options"":[]},{""title"":""Raise a Service Request"",""content"":""nanorep://#trackyourservice"",""type"":""quick"",""kind"":""url"",""options"":[]}],""content"":""Please let me know what you are looking for""}",
Eligibility criteria for loan,"{""title"":"""",""options"":[{""title"":""Personal loan"",""content"":""https://buy.icicibank.com/ucj/personal?ius=KMOU29843KM&iup=PL852452&ITM=nli_iPal_aomenu_pl"",""type"":""quick"",""kind"":""url"",""options"":[]},{""title"":""Credit card"",""content"":""https://loan.icicibank.com/asset-portal-all/apply-now?loanType=cc&ITM=nli_iPal_aomenu_cc"",""type"":""quick"",""kind"":""url"",""options"":[]},{""title"":""Car loan"",""content"":""https://loan.icicibank.com/asset-portal-all/apply-now?loanType=al&loanType=cc"",""type"":""quick"",""kind"":""url"",""options"":[]},{""title"":""Home Loan"",""content"":""https://www.icicibank.com/calculator/home-loan-eligibility-calculator.page?"",""type"":""quick"",""kind"":""url"",""options"":[]},{""title"":""Gold Loan"",""content"":""https://www.icicibank.com/calculator/gold-loan-calculator.page"",""type"":""quick"",""kind"":""url"",""options"":[]}],""content"":""Please click any of the links below or type your query if you don’t see the right option.""}",
How to cancel train ticket?,Cancelling train tickets you booked on iMobile Pay app is simple. Click on 'Shop' > Click on 'Rail' > Go to 'My Bookings' > List of all uncompleted/Completed trips will be populated > Select the ticket which needs to be cancelled and proceed > Review the cancellations once you have selected the passengers and proceed for confirmation. We will complete your refund within 10 working days.,
What is meant by moratorium?,"{""title"":"""",""options"":[{""title"":""Click here to apply"",""kind"":""url"",""type"":""quick"",""events"":[],""content"":""https://buy.icicibank.com/moratorium.html""}],""content"":""The moratorium is the temporary deferment of payment of interest/ principal/instalments. It is not a waiver. Interest shall continue to accrue on the outstanding portion of the loan/credit facility during the moratorium period."",""isCTA"":true}",
Can I chat with an agent?,"{""title"":"""",""options"":[{""title"":""Tutorial"",""content"":""2140227533"",""type"":""quick"",""kind"":""articleTitle"",""options"":[]}],""content"":""Click below to connect with our executive. (Live chat services available Monday to Saturday 10 AM - 6 PM)""}",
How to update registered address on Pockets ?,"Now update your address registered on ICICI Bank Pockets app in a few simple, quick and hassle-free steps. So no need to visit any branch for updating your registered address, conveniently do it on your Pockets app.click here https://youtu.be/JX0dOY5ir4w to know more.",
How to register payee for fund transfer?,"As we need some more details to resolve your query, we request you to chat with our Live Chat Officer by clicking on the 'Live Chat' option.",
How do I know that a transaction has been unsuccessful in the Mandate Hub??,"Unsuccessful transaction will be recorded in the transaction history, with a remark as ‘Failure’. Transaction failure notification is sent to the customer, after the transaction has been unsuccessful.",
How can I link other account to my user id ?,"Please click here javascript:cmCodeRedirection('NLINKSA') to link your other ICICI Bank Account with your User ID.Alternatively may follow path - Customer Service > Service Requests > Bank Account > Account Modification Related > Linking of Accounts .Linking request will be completed in 1 working day. Request you to delete all the registered billers and beneficiaries from the account that needs to be linked to the new User ID. Please note that for linking of accounts, accounts holder's name, date of birth and communication address should be same in both the accounts.",
How to generate password overseas?,"Only resident customers whose Indian mobile number is registered can avail the Online Password Generation facility. Alternatively, you may call our Customer Care between 7:00 a.m. and 9:00 p.m. from your registered mobile number and submit a request for physical password to be delivered at your registered communication address.The password will be delivered within 8 working days, however the delivery will be attempted by courier within 5 working days.",
I have deposited a post-dated cheque in my account. Will it get credited to my account?,"No, post dated cheques cannot be credited to your account. In case you have deposited a post-dated cheque, the same will be returned to your registered communication address updated in our records.",
What will happen if the PAN is not linked to Aadhaar?,"If the PAN is not linked to Aadhaar by 30-June-21, the PAN provided by you will become inoperative and might also impact on certain bank transactions required.",
How to delete the beneficiary/ registered payee?,To delete registered payee please go to payee list from your iMobile Pay app dashboard > Select payee > Delete payee.Please click here nanorep://#addNewPayee  to navigate.,
What is transaction guide?,"ICICI Bank NRI Transaction Guide has been developed specifically to give you a single point of reference to all the information you need to carry out various transactions with ICICI Bank. In addition to key contact information, you will find a summary of processes to help you gain a better understanding of steps involved to carry out your transactions.Our primary objective with this guide is to provide full transparency into our practices and procedures so you know what to expect as you move through various transaction processes. We remain committed to providing you with service excellence and in doing so, hope you find this guide both informative and useful. To help you navigate through the process, we have broken our guide into various tabs depending on the type of transaction.",
FASTag Bill Payment,Please click here nanorep://#iPay_BPFastag to pay your FASTag bill.,
How to link my credit card?,"To link credit card, please click here nanorep://#linkAccounts .",
"Why am I getting the alert ""Sorry. Your request could not be processed. Please try again""?",This can be caused due to an issue at our end. Such issue is usually temporary. Please try again after some time and you will not get the alert again.,
What is iMobile Pay?,"iMobile Pay is ICICI Bank's Mobile Banking application that can be downloaded and activated on your mobile phone. With iMobile Pay you can check your balance, transfer funds, pay utility bills, recharge your mobile phone, DTH connection, broadband, book movie tickets and much more on the go.To know more, please Click here https://www.icicibank.com/mobile-banking/imobile-pay.page .  To learn more watchan iPlay video by clicking here https://www.youtube.com/embed/qDVr2ERXA5I?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal .",
"If the merchant says that the card is not working, what is to be done?","We request you to call our 24*7 Customer Care, for contact details please refer below mentioned link:http://www.icicibank.com/nri-banking/RHStemp/contact_us.page https://www.icicibank.com/nri-banking/RHStemp/contact_us.page",
My debit card is going to expire how to get the new debit card. What to do?,"We will dispatch a new debit card to you before the expiry of your current debit card. Please do not raise a fresh request for a debit card. If you do not receive a new debit card within 1 week of expiration of your current debit card, please call our customer care to register a complaint. For customer care numbers, please click here https://www.icicibank.com/customer-care.page",
What if my mobile phone is lost or misplaced. Can someone misuse the app or use Pockets mobile app on my behalf?,Access to the app is allowed only on entering the User ID and Password. All financial transactions are made secure by the two factor authentication wherein an OTP is sent to your registered mobile number. This OTP has to be entered before the transaction is completed. Further SMS alerts are sent for all transactions.,
How can I block my ICICI Bank Debit / ATM card?,"You can block your debit card through the ""Services"" icon available on homepage. Please click here nanorep://#debitb to navigate. If you want to raise a request for a new card, please click here nanorep://#expressionDebitCard .",
How to know the interest rate for Personal Loan ?,"{""title"":"""",""options"":[{""title"":""Back to Menu"",""kind"":""back-to-menu"",""type"":""quick"",""events"":[],""content"":""2356414563|Menu""}],""content"":""<p><iframe allowtransparency=\""65535\"" frameborder=\""8\"" height=\""100px\"" scrolling=\""no\"" src=\""https://www.icicibank.com/ipal/mccm-ipal-default.page?eventParam=NRI_2,PL,String\"" style=\""background: #f2821d;\"" width=\""100%\""></iframe></p><p>To check for Personal Loan interest rates please <a href=\""https://www.icicibank.com/Personal-Banking/loans/personal-loan/personal-loan-interest-rates.page?#toptitle\"">click here</a>.</p><p>However, to know the interest rates specific to your needs please feel free to fill out the <a href=\""https://loan.icicibank.com/asset-portal-all/apply-now?loanType=pl&amp;utm_source=PL-EMI-CAL&amp;utm_medium=%20PL12012021A&amp;utm_campaign=iPal\"" target=\""_blank\"">application form here</a>.&nbsp;</p><p>You may also visit www.icicibank.com &gt; Rates and Charges (at the bottom of the page) &gt; Interest Rates &gt; Loans&nbsp;&gt; Personal&nbsp;Loan Interest Rate.</p>"",""isCTA"":true}",
"My bill payment was successful, but the amount got credited after two days?","If the bill details provided by you do not match the one stored in the database of the selected Biller, the funds will be credited back to your account. Reach out to your Biller for further clarification.",
How do I check Home Loan EMI?,"Please click here http://"" https://www.icicibank.com/calculator/home-loan-emi-calculator.page?"" to check the Home Loan EMI calculator page for EMI pertaining to your loan.",
What are the credit card requests that I can directly check or place online?,You may view or place the below mentioned requests from your Internet Banking Account: Apply for a Credit Card Apply for a Gift Card View and Manage your Credit Cards Service Requests Block your Credit Card - Instant deactivation Generate Credit Card Pin Online Request for Physical PIN Generate a 3D Secure OTP View Last Credit Received Pay ICICI Bank Credit Card Bill Convert to EMI Auto Debit Setup Alerts Subscription Reward Points Hand Pick Reward Points Request for Billing cycle change.,
How to schedule a fund transfer to an ICICI Bank payee?,"You may schedule the transfer of funds to other ICICI Bank Account (Standing Instruction) online with the following steps:Go to Payments & Transfer > Fund Transfer > Transfer Funds to Any other ICICI Bank account > Transfer Now > Select payee  account > Select Payment type as 'Recurring' > Enter the payment date, payment frequency and number of payments.The funds will be transferred to the beneficiary account on the scheduled date, subject to available balance.",
How do I block my Debit card?,"You may block  the Debit Card through any of the following channels:Internet Banking: Login to www.icicibank.com with user ID and password > Customer Service > Service Requests > Bank Account > Debit Card Related > Block Debit / ATM card.click here https://infinity.icicibank.com/corp/AuthenticationController?FORMSGROUP_ID__=AuthenticationFG&__START_TRAN_FLAG__=Y&FG_BUTTONS__=LOAD&ACTION.LOAD=Y&AuthenticationFG.LOGIN_FLAG=1&BANK_ID=ICI&CTA_FLAG=BLCKATM to block your debit cardiMobile: Login to iMobile > Smartkeys & Services >Card Services> Block/Unblock debit card> Select the required details and Submit.Customer Care : You may call our Customer Care from your registered mobile number. To know the local Customer Care numbers, we request you click here https://www.icicibank.com/nri-banking/RHStemp/contact-us.page?You can also write to us at customer.care@icicibank.com for further assistanceICICI Bank Branch:Visit the nearest ICICI Bank branch along with original photo ID proof. To locate the nearest ICICI Bank Branch, visit maps.icicibank.com/mobile http://maps.icicibank.com/mobile",
How are contributions of Atal Pension Yojana invested?,"The contributions under APY are invested as per the investment guidelines prescribed by Ministry of Finance, Government of India. The APY scheme is administered by PFRDA/GOVERNMENT.",
Who is eligible for InAFlash Credit Card offer?,Pre-selected existing ICICI Bank customers are eligible to avail instant issuance of credit card. The offer is visible in the logged-in section of Internet Banking and iMobile Pay App.,
How to know about ICICI Bank offers?,"Sure, let me help you with that. You can avail this service through 'Pre-Approved Offers' tab in Discover Section.",
Download Forms,Please click here https://www.icicibank.com/nri-banking/RHStemp/documents-form.page? and download the form you need,
Is the beneficiary also required to register for UPI?,"Yes, the beneficiary needs to register for any UPI ID. They need to communicate this UPI ID to you to initiate a transaction.",
How do I link my Credit Card Account to my User ID ?,"You can link your ICICI bank credit card through the ""Services"" icon available on homepage. Click here nanorep://#linkAccounts  to navigate.",
"Why am I getting the error ""You are not registered for online mutual fund services""?","You are getting this error due to any of the following 3 reasons:1. Your account must have been opened prior to 1st of January, 20072.  Your mode of holding must not be single 3.  Your PAN number must not be updated in our system. Please visit the nearest branch and complete your mutual fund KYC registration to enjoy the benefits of investing online.",
How can I cancel ECS?,To cancel ECS/NACH Mandate please go to Customer Service >Service Request > Bank Accounts >ECS/NACH Mandate Cancellation.Note : ECS/NACH Mandate Cancellation Service is available between 9 AM to 5.30 PM on RBI working day.You may also visit the branch or can approach the merchant where debit mandate is set up. Click here http://maps.icicibank.com/mobile to locate branch.You need to carry original Photo ID Proof and request letter while visiting branch to place request for ECS/NACH/CMS Mandate cancellation.,
How to change my ECS mandate bank?,You need to visit your nearest asset servicing branch and the staff will guide you for doing the same.,
Can I scheduled my UPI collect request?,"You can scheduled collect request using iMobile Pay app, Login to iMobile Pay app > BHIM UPI > Collect > submit details. To learn more on how to raise a UPI collect request through Pockets app watchan iPlay video by clicking here https://www.youtube.com/embed/ZsBmqRheZNw?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal .",
What are the different methods of transferring money through IMPS?,"You can use the below mentioned methods for transferring money through IMPS: 1. Using an Account Number & the IFSC code 2. Using Mobile Number and Mobile Money IdentifierAlternately, you can also transfer money through UPI, which is quick and convenient. If you have the mobile number of the recipient saved, you can directly go to 'Pay to contact' on iMobile (iMobile>BHIM UPI>Pay to Contact).",
Can I make a part payment for a bill?,Part payment can be made only for Billers who are in Payment mode.,
How can I delete some of the billers from my payment list?,Please click here javascript:cmCodeRedirection('BPRVMP') and go to 'Your Registered Billers' click on Scroll button available next to Pay now to delete the biller.,
How to apply for Health Top Up Insurance ?,"ICICI Lombard Group Health Top Up Plan is a super top-up plan that extends your coverage for illnesses and expenses not covered by your base plan or top-ups. Accompanied by a deductible threshold, Group Health Top Up plan can help you meet your expenses apart from the hospitalisation or if the costs of hospitalization go over and above of what your existing health insurance can cover. Cover your pre & post hospitalization, day care procedures, alternate methods of treatment and much more at premium starting at ₹7 per day. To learn more watchan iPlay video by clicking here https://www.youtube.com/embed/YVygwpmcKl0?utm_source=iPal&utm_medium=iPlay_Videos&utm_campaign=iPlay+iPal .",
What is the benefits of IMPS funds transfer ?,"IMPS is a faster way to do a fund without adding a payee. IMPS is available 24 hours of the day, all days of the week, throughout the year. There are no holiday restrictions on IMPS transactions.",
What is Kisan Credit Card?,Kisan Credit Card (KCC) is a scheme that aims at providing adequate and timely support from the banking system to the farmers for their short term credit needs for cultivation of crops.,
What Services will be available at Online Assist?,The Services available through Online assist are -Charges Related Cheque book or Debit card status [Deliverables status and re-dispatch] PMAY Subsidy application status ICICI Bank ATM Cash Withdrawal Related,
What are the currencies in which I can do a Wire Transfer?,"{""title"":"""",""options"":[{""title"":""Other Currencies"",""kind"":""none"",""type"":""quick"",""events"":[],""content"":""Apart from the above mentioned currencies wire transfer can be initiated in 23 other currencies as well but the originating currency will be converted to USD equivalent and once ICICI Bank receives the funds, it will be credit to your account in INR as per prevailing exchange rate. Bulgarian Lev(BGN), Bahraini Dinar (BHD), Botswana Pula(BWP), China Yuan (CNY), Czech Koruna(CZK), Ghanaian Cedi(GHS), Croatian Kuna(HRK), Hungarian Forint(HUF), Israeli new shekel (ILS), Kenyan Shilling(KES), Kuwaiti Dinar(KWD), Sri Lankan Rupee(LKR), Moroccan Dirham(MAD), Mexican New Peso(MXN), Omani Rial(OMR), Polish Zloty(PLN), Romanian New Leu (RON), Russian Ruble(RUB), Serbian dinar(RSD), Thai Baht(THB), Turkish New Lira(TRY)""}],""content"":""Inward remittance is accepted in 17 currencies namely: UAE Dhiram (AED), Australian Dollar( AUD), Canadian Dollar (CAD), Swiss Francs (CHF), Singapore Dollar (SGD), Japanese Yen (JPY), United States Dollar (USD), Norwegian Krone (NOK), New Zealand Dollar (NZD), Qatari Riyal (QAR), Danish Krone (DKK), Euro (EUR), Great Britain Pound (GBP), Hong Kong Dollar (HKD), South African Rand (ZAR), Saudi Riyal (SAR), Swedish Kroner (SEK)"",""isCTA"":true}",
What are the ICICI Bank Career Opportunities?,"For any queries related to career opportunities with ICICI Bank, please write to us at icicicareers@icicibank.comTo know more, visit https://www.icicicareers.com/website/  our careers website.",
"Why am I getting error ""You are not registered for online mutual fund services ?","Accounts opened prior to 2007, customer has to visit the branch and complete the mutual fund kyc.",
"How do I identify, if I am on the right website or is it a fraudulent website?","To identify whether it is secured site, check whether it is https:// where 's' stands for 'secure site' and check whether the pad lock is active. Our website is https://www.icicibank.com https://www.icicibank.com .",
Can I temporary block my debit /Credit card ?,"{""title"":"""",""options"":[{""title"":""Demo Video"",""kind"":""url"",""type"":""quick"",""events"":[],""content"":""https://www.youtube.com/watch?v=Y9aDAqOPwWE""}],""content"":""You can temporary block your Debit /Credit Card through ""Services"" icon available on homepage > Cards Services > Block / unblock Debit card.Please click on below button to watch a Demo video."",""isCTA"":true}",
How will I get to know if my friend raised a UPI collect request from me?,"You will get real time notification on application and collect request sms from bank as soon as someone placed any pay/ collect request. Further, After logging in to Imobile app, You can also see the notification in the pending request section in dashboard.",
How to get a new debit card?,"{""title"":"""",""options"":[{""title"":""Demo video"",""kind"":""url"",""type"":""quick"",""events"":[],""content"":""https://www.youtube.com/watch?v=E2HV0Di-7Oo""}],""content"":""To apply for new debit card, please click here ""nanorep://#applyForDebitCard .Please click below to watch demo video on how to apply new debit card request."",""isCTA"":true}",
What is the validity of Pradhan Mantri Suraksha Bima Yojana scheme?,"The cover for Pradhan Mantri Suraksha Bima Yojana (PMSBY) scheme shall be for one year starting from June 01 to May 31. All the policies will be due for renewal by May 31, irrespective of the subscription month.For e.g. If a customer has applied for the policy in the month of June or January, the policy will be due for renewal by May 31.",
